name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,predicted_price
Maruti Wagon R AMT VXI,2018,448000,30000,Petrol,Individual,Automatic,First Owner,20.51,998,67.0,5,-783382538.6155759
Volkswagen Ameo 1.5 TDI Comfortline,2017,500000,80000,Diesel,Individual,Manual,First Owner,21.66,1498,108.62,5,-2835480298.7590637
Maruti Vitara Brezza ZDi Plus AMT,2019,1025000,9850,Diesel,Individual,Automatic,First Owner,24.3,1248,88.5,5,94868120.99704136
Maruti Swift VDI Deca,2016,630000,70000,Diesel,Individual,Manual,First Owner,25.2,1248,74.0,5,-2446434983.0106726
Toyota Fortuner 4x4 MT,2015,1700000,78000,Diesel,Individual,Manual,Second Owner,12.55,2982,168.5,7,-2599597379.1353636
Maruti Swift Star VDI,2013,450000,120000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,5,-4555441311.231832
Maruti Ertiga ZXI,2012,450000,120000,Petrol,Individual,Manual,Second Owner,16.02,1373,93.7,7,-4538428513.263971
Volkswagen Vento Diesel Highline,2013,450000,170000,Diesel,Individual,Manual,First Owner,20.54,1598,103.6,5,-6623974964.053048
Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,1200000,140000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,8,-5277176121.775433
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,610000,90000,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,5,-3260419938.768714
BMW X1 sDrive20i xLine,2016,2500000,30000,Petrol,Individual,Automatic,Second Owner,15.71,1998,189.0,5,-659070792.3178489
Maruti Celerio ZXI MT BSIV,2017,484999,10000,Petrol,Dealer,Manual,First Owner,23.1,998,67.04,5,59679513.44949853
Datsun GO A Petrol,2016,275000,49000,Petrol,Dealer,Manual,First Owner,19.02,1198,67.05,5,-1566718958.1649027
Maruti Alto 800 VXI BSIV,2016,315000,32000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5,-892209155.3571088
Maruti Alto 800 LXI BSIV,2016,275000,38000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5,-1145246814.5346394
Hyundai i10 Era 1.1,2012,290000,28000,Petrol,Dealer,Manual,First Owner,19.81,1086,68.05,5,-691803637.7940485
Maruti Omni 8 Seater BSIV,2017,280000,32000,Petrol,Dealer,Manual,First Owner,14.0,796,35.0,5,-894470442.4556887
Maruti Wagon R LXI LPG BSIV,2010,225000,44000,LPG,Dealer,Manual,First Owner,26.2,998,58.2,5,-1378183519.014511
Volkswagen Polo 1.2 MPI Comfortline,2015,455000,42000,Petrol,Dealer,Manual,First Owner,16.47,1198,74.0,5,-1269573717.7922342
Hyundai i10 Magna 1.1L,2015,351000,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086,68.05,5,-1408187143.171549
Volkswagen Vento Petrol Highline,2012,535000,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598,103.6,5,39636500.44464769
Maruti Zen Estilo LXI BSIII,2009,175000,55500,Petrol,Dealer,Manual,First Owner,18.2,998,67.1,5,-1860236601.020582
Hyundai i20 Asta Optional with Sunroof 1.2,2013,525000,61500,Petrol,Dealer,Manual,First Owner,18.5,1197,82.85,5,-2090161092.239675
Maruti Swift Dzire LDI,2016,600000,150000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5,-5820389713.130689
Hyundai Xcent 1.2 Kappa SX Option AT,2016,565000,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197,82.0,5,-2532704489.5604143
Maruti Alto LX BSIII,2008,120000,68000,Petrol,Dealer,Manual,Third Owner,19.7,796,46.3,5,-2411763716.3332567
Hyundai i20 1.4 Asta Option,2017,725000,110000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5,-4115456763.801831
Maruti Wagon R VXI,2009,185000,77000,Petrol,Dealer,Manual,Second Owner,21.79,998,67.05,5,-2767276612.484722
Tata Manza Aura (ABS) Quadrajet,2010,200000,100000,Diesel,Individual,Manual,Second Owner,18.8,1248,90.0,5,-3707809985.8361497
Maruti Swift VXI,2019,615000,10000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5,82338746.04100017
Maruti Baleno Zeta 1.2,2018,610000,35000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5,-971831001.8450388
Mahindra Scorpio VLX AT AIRBAG BSIV,2014,625000,70000,Diesel,Individual,Automatic,Second Owner,11.79,2179,120.0,8,-2348662727.137908
Ford Freestyle Titanium Petrol BSIV,2020,400000,5000,Petrol,Individual,Manual,Second Owner,19.0,1194,94.68,5,296829549.52975345
Hyundai Verna VTVT 1.6 SX,2017,866000,37800,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5,-1043460087.2823274
Volkswagen Passat 1.8 TSI MT,2010,700000,114000,Petrol,Individual,Manual,First Owner,14.3,1798,160.0,5,-4228702702.132155
Mahindra XUV500 W11 Option AWD,2019,1700000,32000,Diesel,Individual,Manual,First Owner,15.1,2179,155.0,7,-735800637.484762
Tata Indigo CS LS (TDI) BS-III,2016,375000,100000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5,-3698193612.9775066
Hyundai Verna 1.6 SX,2013,522000,150000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,5,-5775907572.162154
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,451999,69000,Diesel,Individual,Manual,First Owner,21.9,1396,88.76,5,-2387045006.4479036
Toyota Corolla Altis G,2009,300000,100000,Petrol,Individual,Manual,Second Owner,14.53,1798,138.1,5,-3644477999.7259007
Maruti Celerio VXI,2020,475000,13000,Petrol,Individual,Manual,First Owner,21.63,998,67.04,5,-66156648.046024986
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,780000,60000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,-2020661509.253988
Maruti Swift Dzire VXI,2017,595000,40000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5,-1182823089.6305358
Nissan Terrano XL 85 PS,2014,400000,70000,Diesel,Individual,Manual,Third Owner,20.45,1461,83.8,5,-2424356770.298416
Hyundai Creta 1.6 CRDi SX,2016,1140000,50000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5,-1557862158.7036066
Maruti Swift Dzire VDi,2012,370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248,73.9,5,-6874857141.84914
Renault KWID 1.0,2018,350000,25000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,5,-572641450.0392045
Maruti Celerio VXI,2015,360000,40000,Petrol,Individual,Manual,Second Owner,23.1,998,67.04,5,-1205879801.744045
Maruti Alto LXi,2008,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,5,-2285244886.7444916
Hyundai Santro Xing GLS,2009,135000,80000,Petrol,Individual,Manual,Second Owner,17.92,1086,62.1,5,-2886818795.5764585
Maruti Ertiga VDI,2015,700000,110000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,7,-4129263463.7583394
Honda Amaze S i-VTEC,2019,690000,1303,Petrol,Dealer,Manual,First Owner,17.8,1198,86.7,5,450840845.89463675
Audi Q5 35TDI Premium Plus,2018,3975000,31800,Diesel,Dealer,Automatic,First Owner,17.01,1968,188.0,5,-737723043.71856
Lexus ES 300h,2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487,214.56,5,-185916161.76143974
Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177.0,5,-1294982044.3678303
Land Rover Discovery Sport TD4 SE,2019,4500000,21000,Diesel,Dealer,Automatic,First Owner,12.83,1999,148.31,7,-289894769.690816
Mercedes-Benz S-Class S 350 CDI,2017,6000000,37000,Diesel,Dealer,Automatic,First Owner,13.5,2987,254.79,5,-846012767.5265853
BMW 5 Series 520d Sport Line,2018,3790000,29500,Diesel,Dealer,Automatic,First Owner,22.48,1995,187.74,5,-638811615.1375793
BMW X4 M Sport X xDrive20d,2019,5800000,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,5,290286031.56099814
Skoda Superb LK 1.8 TSI AT,2018,1864999,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798,177.46,5,-1523405418.7492774
Mercedes-Benz E-Class E250 Edition E,2016,2700000,35000,Diesel,Dealer,Automatic,First Owner,15.0,2143,204.0,5,-852591218.3059696
MG Hector Sharp AT BSIV,2019,1750000,19000,Petrol,Dealer,Automatic,First Owner,13.96,1451,141.0,5,-257312772.04109326
Toyota Corolla Altis 1.8 G CVT,2013,625000,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798,138.03,5,-1071184124.0441734
Volvo XC40 D4 R-Design,2018,3400000,22000,Diesel,Dealer,Automatic,First Owner,18.0,1969,190.0,5,-323875109.5838547
Audi Q7 35 TDI Quattro Premium,2015,2650000,53000,Diesel,Dealer,Automatic,First Owner,12.07,2967,241.4,7,-1526652536.8198109
Maruti Ciaz ZDi,2015,535000,40000,Diesel,Dealer,Manual,First Owner,26.21,1248,88.5,5,-1177552050.0476239
Mercedes-Benz S-Class S 350 CDI,2017,5850000,47000,Diesel,Dealer,Automatic,First Owner,13.5,2987,282.0,5,-1260298268.302247
BMW 5 Series 523i,2010,975000,72200,Petrol,Dealer,Automatic,Second Owner,10.8,2497,150.0,5,-2404773521.0466685
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2625000,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999,177.0,5,223735595.8947319
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,811000,11000,Petrol,Dealer,Manual,First Owner,17.0,1198,108.5,5,47736852.51268516
Volkswagen Vento Petrol Highline,2011,375000,49000,Petrol,Individual,Manual,First Owner,15.04,1598,103.6,5,-1520947907.4697363
Hyundai Elantra SX,2012,550000,95000,Petrol,Individual,Manual,First Owner,16.3,1797,147.5,5,-3430727941.9280343
Skoda Rapid 1.6 MPI AT Elegance,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,5,82587623.52833651
Mercedes-Benz CLA 200 CGI Sport,2018,2550000,18000,Petrol,Dealer,Automatic,First Owner,15.04,1991,183.0,5,-154844667.3716286
Mercedes-Benz New C-Class C 200 AVANTGARDE,2017,2700000,16000,Petrol,Dealer,Automatic,First Owner,14.74,1991,181.04,5,-71194751.7415875
Honda City V AT,2017,875000,18000,Petrol,Dealer,Automatic,First Owner,15.6,1497,116.3,5,-218227669.95575088
Toyota Glanza V CVT,2019,894999,9654,Petrol,Dealer,Automatic,First Owner,19.56,1197,81.8,5,97072169.12960504
Maruti Alto K10 VXI,2011,175000,11000,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,5,16323310.474469623
Maruti Swift VXI,2012,340000,24300,Petrol,Dealer,Manual,First Owner,21.21,1197,81.8,5,-522032909.23606473
Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,1025000,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497,108.5,5,201047126.7178528
BMW 3 Series 320d Luxury Line,2016,2150000,30000,Diesel,Dealer,Automatic,First Owner,22.69,1995,190.0,5,-659668850.1192505
Toyota Camry 2.5 Hybrid,2016,1900000,41000,Petrol,Dealer,Automatic,First Owner,19.16,2494,157.7,5,-1086748168.0104063
BMW 5 Series 520d Luxury Line,2016,2900000,12000,Diesel,Dealer,Automatic,First Owner,18.12,1995,190.0,5,99836274.24615444
Toyota Camry W4 (AT),2009,450000,71000,Petrol,Dealer,Automatic,First Owner,12.1,2362,164.7,5,-2362712337.944787
Maruti Ertiga BSIV ZXI Plus,2016,850000,20000,Petrol,Individual,Manual,First Owner,17.5,1373,91.1,7,-321230442.9922918
Volvo XC90 T8 Excellence BSIV,2017,10000000,30000,Petrol,Individual,Automatic,First Owner,42.0,1969,400.0,4,-605981513.3464681
Ford Figo Aspire 1.2 Ti-VCT Trend,2018,575000,9500,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,5,104778397.11658256
Ford Figo Diesel LXI,2011,160000,120000,Diesel,Individual,Manual,First Owner,20.0,1399,68.0,5,-4543479789.989159
Maruti Swift VXI Optional,2015,515000,36600,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,-1040134076.3538408
Maruti Wagon R AMT VXI,2015,390000,50000,Petrol,Individual,Automatic,Second Owner,20.51,998,67.0,5,-1627397931.4995139
Hyundai i20 Magna 1.2,2016,550000,14000,Petrol,Individual,Manual,Second Owner,18.6,1197,81.83,5,-86677387.18171665
Maruti 800 Std,1999,40000,40000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4,-1234754553.9910362
Maruti Ritz VDi,2010,220000,120000,Diesel,Individual,Manual,First Owner,21.1,1248,73.9,5,-4555870741.443947
Hyundai Grand i10 Magna,2015,425000,70000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5,-2448526951.033856
Volkswagen Ameo 1.0 MPI Trendline,2019,480000,13000,Petrol,Individual,Manual,First Owner,19.44,999,75.0,5,-63885697.23533528
Maruti Swift Dzire VXI,2014,487000,35000,Petrol,Individual,Manual,First Owner,19.1,1197,85.8,5,-971637031.828307
Hyundai Xcent 1.2 Kappa S,2016,386000,44000,Petrol,Individual,Manual,Second Owner,19.1,1197,82.0,5,-1351862080.0652716
Honda City 1.5 EXI,2005,100000,120000,Petrol,Individual,Manual,Second Owner,13.0,1493,100.0,5,-4526693714.112992
Toyota Corolla Altis Diesel D4DG,2010,300000,60000,Diesel,Individual,Manual,First Owner,21.43,1364,87.2,5,-2011340128.7267923
Daewoo Matiz SD,2000,100000,60000,Petrol,Individual,Manual,First Owner,18.5,796,53.0,5,-2073928335.7377229
Toyota Fortuner 4x2 Manual,2014,1750000,30000,Diesel,Individual,Manual,Second Owner,13.0,2982,168.5,7,-575520229.3888004
Mahindra KUV 100 mFALCON G80 K8,2016,450000,15000,Petrol,Individual,Manual,Second Owner,18.15,1198,82.0,6,-128745973.77977194
Tata Zest Quadrajet 1.3 75PS XM,2017,490000,90000,Diesel,Individual,Manual,First Owner,22.95,1248,74.0,5,-3289515267.1791463
Honda City 1.5 S MT,2009,345000,47000,Petrol,Individual,Manual,Second Owner,17.0,1497,118.0,5,-1442382157.66384
Maruti Zen LXI,2005,85000,90000,Petrol,Individual,Manual,First Owner,17.3,993,60.0,5,-3318264797.3962884
Hyundai Getz GLS,2005,65000,86000,Petrol,Individual,Manual,First Owner,15.3,1341,83.0,5,-3111477782.8922267
Maruti Ciaz 1.3 Alpha,2017,800000,37000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,5,-1050823521.9507118
Tata Tigor 1.2 Revotron XZ,2019,520000,14000,Petrol,Individual,Manual,First Owner,20.3,1199,84.0,5,-85491289.35120021
Maruti Ertiga VDI,2015,580000,70000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,7,-2442345735.908136
Honda City i VTEC S,2015,600000,50000,Petrol,Individual,Manual,First Owner,17.4,1497,117.3,5,-1568013754.2624984
Maruti Wagon R LXI CNG,2016,360000,50000,CNG,Individual,Manual,First Owner,26.6,998,58.16,5,-1630153386.782848
Maruti Swift Dzire VXI,2017,550000,50000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5,-1604552521.593087
Maruti Wagon R AMT VXI,2018,420000,35000,Petrol,Individual,Automatic,First Owner,20.51,998,67.0,5,-994247254.5968515
Maruti Swift Dzire VXI 1.2,2017,550000,20000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5,-339761705.2274414
Maruti Swift Dzire AMT VXI BS IV,2018,700000,7800,Petrol,Individual,Automatic,First Owner,22.0,1197,81.8,5,174865922.36118972
Maruti Swift VXI Optional,2017,500000,20000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,-339692199.9901156
Tata Hexa XE,2019,1250000,15000,Diesel,Individual,Manual,First Owner,17.6,2179,147.94,7,-21006553.423352845
Hyundai i20 Magna,2013,320000,31377,Petrol,Individual,Manual,Second Owner,18.5,1197,82.85,5,-819785524.3388828
Maruti Swift Dzire VDI,2018,700000,50000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5,-1602874216.904339
Maruti Wagon R VXI BS IV,2015,290000,60000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,-2049116420.5275745
Toyota Corolla Altis 1.8 VL AT,2012,550000,100000,Petrol,Individual,Automatic,First Owner,14.53,1794,138.1,5,-3644285050.4971485
Maruti Baleno Alpha Automatic,2018,830000,5000,Petrol,Individual,Automatic,First Owner,21.4,1197,83.1,5,293357294.0426143
Tata Safari Storme EX,2017,800000,60000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,7,-1918859685.2883277
Datsun GO T BSIV,2017,329000,80000,Petrol,Individual,Manual,Second Owner,20.63,1198,67.0,5,-2874046518.64928
Maruti Vitara Brezza VDi Option,2017,775000,75000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,-2653070147.544869
Hyundai Xcent 1.2 VTVT SX,2020,524000,32000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5,-845172264.6615136
Maruti Alto 800 LXI,2015,245000,40000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5,-1229610025.0675535
Hyundai i20 1.2 Sportz,2012,275000,93000,Petrol,Individual,Manual,Second Owner,17.0,1197,80.0,5,-3419445283.2546206
Tata Zest Revotron 1.2 XT,2018,520000,60000,Petrol,Individual,Manual,First Owner,17.57,1193,88.7,5,-2024657502.4319513
Nissan Sunny XL,2014,550000,37000,Petrol,Individual,Manual,First Owner,16.95,1498,97.7,5,-1025183531.3110176
Ford EcoSport 1.5 Petrol Titanium Plus BSIV,2018,910000,15000,Petrol,Individual,Manual,First Owner,17.0,1497,121.36,5,-90259182.01000105
Maruti Wagon R LXI Optional,2016,350000,140000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,-5422766366.575038
Mahindra Ssangyong Rexton RX5,2013,900000,70000,Diesel,Individual,Manual,First Owner,12.83,2696,162.0,7,-2290383056.9286413
Mahindra Quanto C8,2013,300000,120000,Diesel,Individual,Manual,Second Owner,17.21,1493,100.0,7,-4525714212.158935
Maruti Ritz LDi,2010,250000,110000,Diesel,Individual,Manual,Second Owner,21.1,1248,73.9,5,-4134141309.4813957
Hyundai Creta 1.6 CRDi SX Plus Dual Tone,2017,1100000,37000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5,-1009428387.4993452
Renault KWID RXT,2016,270000,44000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5,-1396410678.9405286
Maruti Ertiga VDI,2015,640000,80000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,7,-2864075167.870686
Mahindra XUV500 W4,2015,650000,125000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7,-4662729993.782055
Maruti Eeco 5 Seater AC BSIV,2017,409999,13500,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,5,-67634790.7919004
Hyundai Santro Xing GLS,2011,165000,75000,Petrol,Individual,Manual,First Owner,17.92,1086,62.1,5,-2675583060.289293
Hyundai Accent GLE,2007,80000,120000,Petrol,Individual,Manual,Second Owner,13.2,1495,94.0,5,-4527799506.902568
Mahindra XUV500 W8 2WD,2012,535000,120000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7,-4452421806.759615
Toyota Innova 2.5 EV (Diesel) PS 7 Seater BS IV,2013,700000,70000,Diesel,Individual,Manual,First Owner,12.99,2494,100.57,7,-2325563174.3706384
Maruti Swift Dzire VDI,2013,550000,70000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5,-2446837055.8865623
